Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Using GPU
Train Epoch: 9 [46080/49000 (94%)]	Train Loss: 0.985876	Val Loss: 1.412215	Val Acc: 51
Train Epoch: 10 [0/49000 (0%)]	Train Loss: 0.863636	Val Loss: 1.466623	Val Acc: 50
Train Epoch: 10 [5120/49000 (10%)]	Train Loss: 0.822695	Val Loss: 1.456854	Val Acc: 52
Train Epoch: 10 [10240/49000 (21%)]	Train Loss: 0.893793	Val Loss: 1.405745	Val Acc: 52
Train Epoch: 10 [15360/49000 (31%)]	Train Loss: 0.845548	Val Loss: 1.423192	Val Acc: 52
Train Epoch: 10 [20480/49000 (42%)]	Train Loss: 0.870832	Val Loss: 1.410921	Val Acc: 52
Train Epoch: 10 [25600/49000 (52%)]	Train Loss: 0.927254	Val Loss: 1.428408	Val Acc: 52
Train Epoch: 10 [30720/49000 (62%)]	Train Loss: 0.907325	Val Loss: 1.425132	Val Acc: 52
Train Epoch: 10 [35840/49000 (73%)]	Train Loss: 0.909933	Val Loss: 1.408673	Val Acc: 51
Train Epoch: 10 [40960/49000 (83%)]	Train Loss: 0.822692	Val Loss: 1.394015	Val Acc: 53
Train Epoch: 10 [46080/49000 (94%)]	Train Loss: 0.902083	Val Loss: 1.468433	Val Acc: 51

test set: Average loss: 1.4490, Accuracy: 5179/10000 (51%)

